B1_COD;B1_DESC;B1_TIPO;B1_UM;B1_LOCPAD;B1_GRUPO;B1_POSIPI
CD00300001;LEITE EM PO;CD;UN;11;003;4022110
CD00300002;FEIJAO;CD;UN;11;003;7133399
CD00300003;TANGERINA;CD;UN;11;003;8052100
CD00300004;UVA MISTA;CD;UN;11;003;8061000
CD00300005;MACA;CD;KG;11;003;8081000
CD00300006;PITAYA;CD;UN;11;003;8109016
CD00300007;ARROZ;CD;UN;11;003;10063021
CD00300008;FARINHA DE TRIGO;CD;UN;11;003;11010010
CD00300009;FLOCOS DE MILHO;CD;UN;11;003;11022000
CD00300010;FARINHA DE MANDIOCA;CD;UN;11;003;11062000
CD00300011;OLEO DE SOJA;CD;UN;11;003;15079011
CD00300012;MACARRAO;CD;UN;11;003;19021900
CD00300013;BISCOITO RECHEADO;CD;UN;11;003;19053100
CD00300014;BISCOITO CREAM CRACKER;CD;UN;11;003;19053100
CD00300015;BISCOITO DOCE;CD;UN;11;003;19053100
CD00300016;BOMBOM;CD;UN;11;003;19053200
CD00300017;BOLO;CD;UN;11;003;19059090
CD00300018;GOIABADA;CD;UN;11;003;20079990
CD00300019;MOLHO DE TOMATE;CD;UN;11;003;21032010
CD01000001;CHOCOLATE PRESENTE;CD;KG;11;010;18063210
CD01000002;OVO DE CHOCOLATE;CD;UN;11;010;18069000
CD01000003;BARRIL DE CHOPP;CD;UN;11;010;22030000
CD01000004;VINHO;CD;UN;11;010;22042100
CD01000005;CAIXA PERSONALIZADA;CD;UN;11;010;39205100
CD01000006;CALENDARIO INOX PERMANENTE;CD;UN;11;010;49100000
CD01000007;TOALHA COM LOGOMARCA;CD;UN;11;010;63026000
CD01000008;CANECA ACRILICA PARA CHOPP;CD;UN;11;010;76151900
CD01000009;CARREGADOR PORTATIL;CD;UN;11;010;85044010
CD01000010;BARALHO;CD;UN;11;010;95044000
CD01000011;BOLINHA ANTI STRESS;CD;UN;11;010;95066900
CD01000012;BOTTON PARA CELULAR;CD;UN;11;010;96062900
CD01100001;MEDALHAS EM ACRILICO;CD;UN;11;011;39205900
CD01100002;LIVRO;CD;UN;11;011;49019900
CD01400001;ARRANJO FLORES;CD;UN;11;014;6031900
CD01400002;LUMINARIA;CD;UN;11;014;33049910
CD01400003;VARAO EXTENSIVO PARA CORTINA;CD;UN;11;014;39241000
CD01400004;CORTINA BOX;CD;UN;11;014;39249000
CD01400005;RODAMEIO;CD;UN;11;014;39252000
CD01400006;ESPELHO;CD;UN;11;014;70099200
CD01400007;VASO DE VIDRO;CD;UN;11;014;70139900
CD01800001;FITA DE DEMARCACAO;CD;UN;11;018;39191020
CD01800002;BARREIRA DE ACRILICO;CD;UN;11;018;39205100
CD01800003;CONE DE SINALIZACAO;CD;UN;11;018;39269090
CD01800004;CAMISA FEMININA;CD;UN;11;018;62063000
CD01800005;FITA ANTIDERRAPANTE;CD;UN;11;018;68053090
CD01800006;PLACA FOTOLUMINESCENTE;CD;UN;11;018;83100000
CD01800007;LUMINÁRIA DE EMERGENCIA;CD;UN;11;018;94051099
CD01800008;EXTINTOR CO2;CD;UN;11;018;NCM
CD01800009;EXTINTOR H2O;CD;UN;11;018;NCM
CD01900001;IMPRESSORA;CD;UN;11;019;84433113
CD01900002;HD SSD;CD;UN;11;019;84717012
CD01900003;PLACA USB 3.0;CD;UN;11;019;84733049
CD01900004;ADAPTADOR DVD PARA HD OU SSD;CD;UN;11;019;84733099
