YD_TEC;YD_UNID;YD_DESC_P
08109016;UN;"FRUTAS; CASCAS DE CÍTRICOS/MELÕES"
96121000;UN;FITAS IMPRESSORAS SEMELHANTES
84433113;UN;MÁQ.P/IMP.COP.TRANSM.FAX,A LASER
95030050;UN;BRINQUEDOS, JOGOS, ARTIGOS
85177010;UN;CIRCUITOS IMPR.C/COMP.ELÉTR./ELETR.MONT
32082019;UN;PIGMENTOS/MATÉRIAS CORANTES/TINTAS/VERN
85177091;UN;GABINETES,BASTID.ARMAÇ.P/APS.TRANSM.
90138000;UN;APARELHOS DE ÓPTICA, FOTOGRAFIA OU CINEM
44219900;UN;MADEIRA, CARVÃO VEGETAL E OBRAS DE MADE
85177900;UN;MÁQUINAS, APARELHOS E MATERIAIS ELÉTRIC.
85181090;UN;MÁQUINAS, APARELHOS E MATERIAIS ELÉTRIC.
85235110;UN;MÁQUINAS, APARELHOS E MATERIAIS ELÉTRIC.
85437099;UN;MÁQUINAS, APARELHOS E MATERIAIS ELÉTRIC.
85176294;UN;MÁQUINAS, APARELHOS E MATERIAIS ELÉTRIC.
85298019;UN;MÁQUINAS, GRAVAÇÃO/REPRODUÇÃO DE SOM
85235200;UN;MÁQUINAS, GRAVAÇÃO/REPRODUÇÃO DE SOM
96200000;UN;OBRAS DIVERSAS
85395000;UN;MÁQUINAS, GRAVAÇÃO/REPRODUÇÃO DE SOM
85489010;UN;MÁQUINAS, GRAVAÇÃO/REPRODUÇÃO DE SOM
85287200;UN;MÁQUINAS, GRAVAÇÃO/REPRODUÇÃO DE SOM
85171231;UN;MÁQUINAS, GRAVAÇÃO/REPRODUÇÃO DE SOM
94039900;UN;MÓVEIS, MOBILIÁRIO MÉDICO-CIRÚRGICO
85176239;UN;OUTS.AP.COMUTAÇÃO P/TELEFONIA E TELEGRAF
39259090;UN;OUTS.ARTEFATOS D/CONSTR.,DE PLÁSTICOS
85444200;UN;COND.ELÉTS.TENS <=1000V,C/PEÇAS DE CONEX
39174090;UN;OUTROS ACESSÓRIOS PARA TUBOS PLÁSTICOS
85176259;UN;OUTS.EQUIPAMENTOS TERMINAIS OU REPETIDOR
73269090;UN;OUTRAS OBRAS DE FERRO OU AÇO
48169010;UN;"PAPEL E CARTÃO; OBRAS DE PASTA DE CELULO"
06031900;UN;PLANTAS VIVAS E PRODUTOS DE FLORICULTURA
39199004;UN;PLÁSTICOS E SUAS OBRAS
39191020;UN;PLÁSTICOS E SUAS OBRAS
93211200;UN;PLÁSTICOS E SUAS OBRAS
38089429;UN;PRODUTOS DIVERSOS DAS INDÚSTRIA QUÍMICA
84248990;UN;REATORES,CALDEIRAS,MÁQUINAS,INSTR. MEC
85151011;UN;REATORES,CALDEIRAS,MÁQUINAS,INSTR. MEC
32173290;UN;PLÁSTICOS E SUAS OBRAS
84151010;UN;REATORES,CALDEIRAS,MÁQUINAS,INSTR. MEC
84439931;UN;REATORES,CALDEIRAS,MÁQUINAS,INSTR. MEC
84439923;UN;REATORES,CALDEIRAS,MÁQUINAS,INSTR. MEC
70133700;UN;VIDRO E SUAS OBRAS
62059090;UN;VEST E SEUS ACESSÓRIOS, EXCETO DE MALHA
70134900;UN;VIDRO E SUAS OBRAS
39191090;UN;PLÁSTICOS E SUAS OBRAS
85258029;UN;OUTS.CÂMERAS DE VÍDEO DE IMAGENS FIXAS
85437092;UN;ELETRIFICADORES DE CERCAS
73132800;UN;VIDRO E SUAS OBRAS
